name,episode_number,episode_season,date,country,channel
Frasier (2023),01,1,12-10-2023,Etats-Unis,Paramount+
Frasier (2023),02,1,12-10-2023,Etats-Unis,Paramount+
Fritzie - Der Himmel muss warten,03,4,12-10-2023,Allemagne,ZDF
Fritzie - Der Himmel muss warten,04,4,12-10-2023,Allemagne,ZDF
Ici tout commence,34,4,12-10-2023,France,TF1
Les révoltés,07,1,12-10-2023,Canada,Club illico 
Les révoltés,08,1,12-10-2023,Canada,Club illico 
Loki,02,2,12-10-2023,Etats-Unis,Disney+
LT-21,01,1,12-10-2023,France,OCS
LT-21,02,1,12-10-2023,France,OCS
Nackt über Berlin,01,1,12-10-2023,France,Arte
Nackt über Berlin,02,1,12-10-2023,France,Arte
Nackt über Berlin,03,1,12-10-2023,France,Arte
Our Flag Means Death,04,2,12-10-2023,Etats-Unis,HBO Max
Our Flag Means Death,05,2,12-10-2023,Etats-Unis,HBO Max
Star Trek: Lower Decks,07,4,12-10-2023,Etats-Unis,Paramount+
The Fall of the House of Usher,01,1,12-10-2023,Etats-Unis,Netflix
The Fall of the House of Usher,02,1,12-10-2023,Etats-Unis,Netflix
The Fall of the House of Usher,03,1,12-10-2023,Etats-Unis,Netflix
The Fall of the House of Usher,04,1,12-10-2023,Etats-Unis,Netflix
The Fall of the House of Usher,05,1,12-10-2023,Etats-Unis,Netflix
The Fall of the House of Usher,06,1,12-10-2023,Etats-Unis,Netflix
The Fall of the House of Usher,07,1,12-10-2023,Etats-Unis,Netflix
The Fall of the House of Usher,08,1,12-10-2023,Etats-Unis,Netflix
Un Si Grand Soleil,29,6,12-10-2023,France,France 2
Billions,10,7,13-10-2023,Etats-Unis,Showtime
Bria Mack Gets A Life,01,1,13-10-2023,Canada,CraveTV
Bria Mack Gets A Life,02,1,13-10-2023,Canada,CraveTV
Bria Mack Gets A Life,03,1,13-10-2023,Canada,CraveTV
Creepshow,01,4,13-10-2023,Etats-Unis,Shudder
Creepshow,02,4,13-10-2023,Etats-Unis,Shudder
Creepshow,03,4,13-10-2023,Etats-Unis,Shudder
Creepshow,04,4,13-10-2023,Etats-Unis,Shudder
Creepshow,05,4,13-10-2023,Etats-Unis,Shudder
Creepshow,06,4,13-10-2023,Etats-Unis,Shudder
Creepshow,07,4,13-10-2023,Etats-Unis,Shudder
Creepshow,08,4,13-10-2023,Etats-Unis,Shudder
Creepshow,09,4,13-10-2023,Etats-Unis,Shudder
Creepshow,10,4,13-10-2023,Etats-Unis,Shudder
Creepshow,11,4,13-10-2023,Etats-Unis,Shudder
Creepshow,12,4,13-10-2023,Etats-Unis,Shudder
Demain nous appartient,40,7,13-10-2023,France,TF1
Die Quellen des Bösen,01,1,13-10-2023,Allemagne,RTL
Die Quellen des Bösen,02,1,13-10-2023,Allemagne,RTL
Die Quellen des Bösen,03,1,13-10-2023,Allemagne,RTL
Die Quellen des Bösen,04,1,13-10-2023,Allemagne,RTL
Die Quellen des Bösen,05,1,13-10-2023,Allemagne,RTL
Die Quellen des Bösen,06,1,13-10-2023,Allemagne,RTL
Familjen Andersson,09,1,13-10-2023,Suède,SVT Play
Gaslight,07,1,13-10-2023,Suède,SVT Play
Gaslight,08,1,13-10-2023,Suède,SVT Play
Gaslight,09,1,13-10-2023,Suède,SVT Play
Gen V,05,1,13-10-2023,Etats-Unis,Prime Video
Goosebumps (2023),01,1,13-10-2023,Etats-Unis,Disney+
Goosebumps (2023),02,1,13-10-2023,Etats-Unis,Disney+
Goosebumps (2023),03,1,13-10-2023,Etats-Unis,Disney+
Goosebumps (2023),04,1,13-10-2023,Etats-Unis,Disney+
Goosebumps (2023),05,1,13-10-2023,Etats-Unis,Disney+
Ici tout commence,35,4,13-10-2023,France,TF1
Lessons In Chemistry,01,1,13-10-2023,Etats-Unis,Apple TV+
Lessons In Chemistry,02,1,13-10-2023,Etats-Unis,Apple TV+
Power Book IV: Force,07,2,13-10-2023,Etats-Unis,Starz
Shining Vale,01,2,13-10-2023,Etats-Unis,Starz
Shoresy,04,2,13-10-2023,Canada,CraveTV
SOKO Leipzig,08,24,13-10-2023,Allemagne,ZDF
Solsidan,04,8,13-10-2023,Suède,TV4
Still Up,06,1,13-10-2023,Etats-Unis,Apple TV+
Suburban Screams,01,1,13-10-2023,Etats-Unis,Peacock
Suburban Screams,02,1,13-10-2023,Etats-Unis,Peacock
Suburban Screams,03,1,13-10-2023,Etats-Unis,Peacock
Suburban Screams,04,1,13-10-2023,Etats-Unis,Peacock
Suburban Screams,05,1,13-10-2023,Etats-Unis,Peacock
Suburban Screams,06,1,13-10-2023,Etats-Unis,Peacock
The Changeling,08,1,13-10-2023,Etats-Unis,Apple TV+
The Good Ship Murder,01,1,13-10-2023,Royaume-Uni,Channel 5
Transplant,02,4,13-10-2023,Canada,CTV
Un Si Grand Soleil,30,6,13-10-2023,France,France 2
All Rise,15,3,14-10-2023,Etats-Unis,OWN
Arthdal Chronicles,11,2,14-10-2023,Corée du Sud,tvN
Boomer,07,1,14-10-2023,Belgique,Één
Arthdal Chronicles,12,2,15-10-2023,Corée du Sud,tvN
Billy the Kid,01,2,15-10-2023,Etats-Unis,Epix
Entre Tierras,06,1,15-10-2023,Espagne,ATRESplayer
Heartland (CA),03,17,15-10-2023,Canada,CBC
Last Week Tonight With John Oliver,13,10,15-10-2023,Etats-Unis,HBO
Les Mystères de l'amour,10,33,15-10-2023,France,TMC
Pantheon,01,2,15-10-2023,Etats-Unis,Prime Video
Pantheon,02,2,15-10-2023,Etats-Unis,Prime Video
