name,episode_number,episode_season,date,country,channel,episode_url
Black Cake,06,1,22-11-2023,Etats-Unis,Hulu,serie-15614-Black-Cake.html
Chucky,08,3,22-11-2023,Etats-Unis,Syfy,serie-13240-Chucky.html
Magnum P.I. (2018),17,5,22-11-2023,Etats-Unis,NBC,serie-7010-Magnum-PI-(2018).html
Magnum P.I. (2018),18,5,22-11-2023,Etats-Unis,NBC,serie-7010-Magnum-PI-(2018).html
SurrealEstate,08,2,22-11-2023,Etats-Unis,Syfy,serie-13085-SurrealEstate.html
The Buccaneers (2023),05,1,22-11-2023,Etats-Unis,Apple TV+,serie-15529-The-Buccaneers-(2023).html
The Santa Clauses,04,2,22-11-2023,Etats-Unis,Disney+,serie-14533-The-Santa-Clauses.html
BlackBerry,03,1,23-11-2023,Canada,CBC,serie-15708-BlackBerry.html
Frasier (2023),08,1,23-11-2023,Etats-Unis,Paramount+,serie-15573-Frasier-(2023).html
Julia (2022),04,2,23-11-2023,Etats-Unis,HBO Max,serie-13897-Julia-(2022).html
Kingdom Business,04,2,23-11-2023,Etats-Unis,BET+,serie-14195-Kingdom-Business.html
Master Crimes,05,1,23-11-2023,France,TF1,serie-15690-Master-Crimes.html
Master Crimes,06,1,23-11-2023,France,TF1,serie-15690-Master-Crimes.html
Rap Sh!t,04,2,23-11-2023,Etats-Unis,HBO Max,serie-14321-Rap-Sht.html
The Vanishing Triangle,06,1,23-11-2023,Etats-Unis,SundanceTV,serie-15619-The-Vanishing-Triangle.html
En helt vanlig familj,01,1,24-11-2023,Etats-Unis,Netflix,serie-15698-En-helt-vanlig-familj.html
Fellow Travelers,05,1,24-11-2023,Etats-Unis,Showtime,serie-15528-Fellow-Travelers.html
For All Mankind,03,4,24-11-2023,Etats-Unis,Apple TV+,serie-9901-For-All-Mankind.html
Invincible,04,2,24-11-2023,Etats-Unis,Prime Video,serie-12630-Invincible.html
Lessons In Chemistry,08,1,24-11-2023,Etats-Unis,Apple TV+,serie-15376-Lessons-In-Chemistry.html
Monarch: Legacy of Monsters,03,1,24-11-2023,Etats-Unis,Apple TV+,serie-15603-Monarch-Legacy-of-Monsters.html
My Demon,01,1,24-11-2023,Etats-Unis,Netflix,serie-15705-My-Demon.html
NCIS: Sydney,03,1,24-11-2023,Etats-Unis,Paramount+,serie-15620-NCIS-Sydney.html
Shining Vale,07,2,24-11-2023,Etats-Unis,Starz,serie-13618-Shining-Vale.html
Solsidan,10,8,24-11-2023,Suède,TV4,serie-2482-Solsidan.html
The Curse (2023),03,1,24-11-2023,Etats-Unis,Showtime on Demand,serie-15656-The-Curse-(2023).html
The Good Ship Murder,07,1,24-11-2023,Royaume-Uni,Channel 5,serie-15666-The-Good-Ship-Murder.html
Transplant,08,4,24-11-2023,Canada,CTV,serie-10635-Transplant.html
Doctor Who (2005),XX,14,25-11-2023,Royaume-Uni,BBC One,serie-136-Doctor-Who-(2005).html
My Demon,02,1,25-11-2023,Etats-Unis,Netflix,serie-15705-My-Demon.html
Beacon 23,03,1,26-11-2023,Etats-Unis,Epix,serie-15648-Beacon-23.html
Rick and Morty,07,7,26-11-2023,Etats-Unis,Adult Swim,serie-1628-Rick-and-Morty.html
The Gilded Age,05,2,26-11-2023,Etats-Unis,HBO,serie-13620-The-Gilded-Age.html
A Murder at the End of the World,04,1,28-11-2023,Etats-Unis,Hulu,serie-15464-A-Murder-at-the-End-of-the-World.html
Fargo,03,5,28-11-2023,Etats-Unis,FX,serie-1694-Fargo.html
Found,09,1,28-11-2023,Etats-Unis,NBC,serie-14723-Found.html
Black Cake,07,1,29-11-2023,Etats-Unis,Hulu,serie-15614-Black-Cake.html
Magnum P.I. (2018),19,5,29-11-2023,Etats-Unis,NBC,serie-7010-Magnum-PI-(2018).html
Quantum Leap (2022),09,2,29-11-2023,Etats-Unis,NBC,serie-14394-Quantum-Leap-(2022).html
SurrealEstate,09,2,29-11-2023,Etats-Unis,Syfy,serie-13085-SurrealEstate.html
The Artful Dodger,01,1,29-11-2023,Etats-Unis,Disney+,serie-15577-The-Artful-Dodger.html
The Buccaneers (2023),06,1,29-11-2023,Etats-Unis,Apple TV+,serie-15529-The-Buccaneers-(2023).html
The Santa Clauses,05,2,29-11-2023,Etats-Unis,Disney+,serie-14533-The-Santa-Clauses.html
Family Law (CAN),01,3,30-11-2023,Canada,Global,serie-12985-Family-Law-(CAN).html
Family Law (CAN),02,3,30-11-2023,Canada,Global,serie-12985-Family-Law-(CAN).html
